ID1,ID2,type,connection
526,805,email,56.130.78
518,145,IP,5
76,215,phone,cbTaqJAMeEtO@domain.com
51,870,email,211.243.108
319,650,phone,eVWvpHDxqhhU@domain.com
285,507,IP,3
510,430,phone,JTQaxyjnagrK@domain.com
117,161,phone,zZMDUXsZAnXG@domain.com
108,899,phone,wIfaDVQFwGxi@domain.com
144,10,IP,7
399,995,IP,9
692,969,email,150.178.74
325,230,phone,efMPtBmYjjTQ@domain.com
955,139,email,38.209.67
656,998,email,245.105.171
230,30,phone,wLdrXbdGAZRs@domain.com
808,453,phone,nxdDvTlpyfEm@domain.com
891,928,IP,6
17,18,phone,DMRBznbrvztn@domain.com
186,749,phone,ZyMxhjvTbVco@domain.com
668,795,IP,10
852,923,phone,SAEXqksVXoXK@domain.com
289,919,email,65.204.22
372,114,email,17.62.247
488,614,phone,OZbuMhrzMvYq@domain.com
653,569,phone,WzZIeHQLxNHO@domain.com
620,618,IP,1
246,911,IP,8
538,923,email,181.105.125
26,414,IP,3
873,528,IP,10
376,472,IP,7
804,508,IP,3
347,23,email,96.169.27
943,775,IP,5
746,35,IP,3
260,948,email,252.96.196
17,633,phone,DMRBznbrvztn@domain.com
986,978,phone,BcGDeoGghnrD@domain.com
909,616,email,36.127.172
97,213,phone,PFLjAXgexXXG@domain.com
542,777,email,147.211.193
578,840,IP,7
85,348,email,178.95.111
226,412,email,89.218.212
947,67,email,156.164.126
54,161,IP,1
758,302,email,163.107.22
805,911,email,146.223.57
968,170,IP,6
929,458,IP,2
693,50,email,228.164.11
824,330,IP,6
158,811,IP,3
735,763,phone,fpDqmkvdclpc@domain.com
790,380,IP,9
785,348,phone,LpjwgMtyshye@domain.com
580,66,email,0.126.128
306,921,email,232.209.23
478,300,IP,8
69,115,IP,6
501,3,IP,4
321,320,IP,6
281,859,IP,10
834,804,IP,8
749,739,phone,THYTPizSArhO@domain.com
549,518,phone,OFjxmQHJsbfy@domain.com
430,243,phone,EZgVUjmkHtuH@domain.com
70,426,phone,SOwsLFVaJhBS@domain.com
460,294,phone,odAAtaObJDOX@domain.com
824,447,email,176.235.150
820,393,phone,jZFCHZsxCszL@domain.com
577,557,email,113.77.48
617,465,email,163.253.116
