ID1,ID2,type,connection
100000000,100000001,PHONE,5875505172
100000000,100000001,EMAIL,eHpaFetqSsyI@domain.com
100000000,100000002,PHONE,5875505172
100000000,100000002,EMAIL,eHpaFetqSsyI@domain.com
100000000,100000003,PHONE,5875505172
100000000,100000003,EMAIL,eHpaFetqSsyI@domain.com
100000000,100000004,PHONE,5875505172
100000000,100000004,EMAIL,eHpaFetqSsyI@domain.com
100000000,100000005,PHONE,5875505172
100000000,100000005,EMAIL,eHpaFetqSsyI@domain.com
100000001,100000002,PHONE,2424373648
100000001,100000002,EMAIL,LhcmEQyuaFze@domain.com
100000001,100000003,PHONE,2424373648
100000001,100000003,EMAIL,LhcmEQyuaFze@domain.com
100000001,100000004,PHONE,2424373648
100000001,100000004,EMAIL,LhcmEQyuaFze@domain.com
100000001,100000005,PHONE,2424373648
100000001,100000005,EMAIL,LhcmEQyuaFze@domain.com
100000002,100000003,PHONE,2470383655
100000002,100000003,EMAIL,ztoooTxWyTkK@domain.com
100000002,100000004,PHONE,2470383655
100000002,100000004,EMAIL,ztoooTxWyTkK@domain.com
100000002,100000005,PHONE,2470383655
100000002,100000005,EMAIL,ztoooTxWyTkK@domain.com
100000003,100000004,PHONE,4791363195
100000003,100000004,EMAIL,jwYmaVULcRRY@domain.com
100000003,100000005,PHONE,4791363195
100000003,100000005,EMAIL,jwYmaVULcRRY@domain.com
100000004,100000005,PHONE,3565382058
100000004,100000005,EMAIL,lbHAhmMTdfXY@domain.com
